Track Name,Artist,date,region,spotify_id,genres,duration,popularity
WORKIN ME,Quavo,2018-08-20,us,33tNYw9oMtSkGe27NpgS64,atl hip hop,169620,61
Like Everybody Else - Acoustic,Lennon Stella,2018-08-20,us,4cRVPfsnX1r3S3GzXRy2wt,canadian pop,194866,66
I Say a Little Prayer,Aretha Franklin,2018-08-20,us,3NfxSdJnVdon1axzloJgba,adult standards,216773,75
Tie Me Down (with Elley Duhé),Gryffin,2018-08-20,us,4QVS8YCpK71R4FsxSMCjhP,dance pop,218295,69
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,2018-08-20,us,5K09WxKdlkroDyEVyOSySy,adult standards,166812,69
Barbie Dreams,Nicki Minaj,2018-08-20,us,6Poyf51k7W3NKnsGwAI90B,dance pop,279866,66
Eastside (with Halsey & Khalid),benny blanco,2018-08-20,us,0d2iYfpKoM0QCKvcLCkBao,electropop,173799,83
SICKO MODE,Travis Scott,2018-08-20,us,2xLMifQCjDGFmkHkpNLD9h,rap,312820,86
Magic In The Hamptons (feat. Lil Yachty),Social House,2018-08-20,us,2Yer0p7uB2lVBUAtANuuQp,pop,164640,78
Thunderclouds,Sia,2018-08-20,us,5a8RPWgKSmcGBGcffmIrUi,australian dance,187026,24
In My Mind,Dynoro,2018-08-20,us,0E9ZjEAyAwOXZ7wJC0PD33,edm,184560,84
Bad At Love - Recorded at Sound Stage Studios Nashville,Old Dominion,2018-08-20,us,1kTugNMVMbaQep1srMua2q,contemporary country,181000,58
Be Alright,Dean Lewis,2018-08-20,us,3EPXxR3ImUwfayaurPi3cm,australian pop,196373,83
Underwater,RÜFÜS DU SOL,2018-08-20,us,04QZdz4g1qoDlPscXVXS1I,australian electropop,349293,45
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,2018-08-20,us,2E124GmJRnBJuXbTb4cPUB,emo rap,179404,14
Taking A Walk,Trippie Redd,2018-08-20,us,4mHgYpuGHu99Mw69E83CP2,melodic rap,121680,79
Majesty (with Labrinth & feat. Eminem),Nicki Minaj,2018-08-20,us,38TgLPNHsPzgqri5G4SPun,dance pop,295653,62
Beautiful (feat. Camila Cabello),Bazzi,2018-08-20,us,4VUwkH455At9kENOfzTqmF,pop,180000,80
No Brainer,DJ Khaled,2018-08-20,us,5WvAo7DNuPRmk4APhdPzi8,dance pop,260000,75
Day Dreaming,Aretha Franklin,2018-08-20,us,4N54FUNMh4t4K82Zlsbjyy,adult standards,240826,32
Respect,Aretha Franklin,2018-08-20,us,7s25THrKz86DM225dOYwnr,adult standards,147600,73
LAMB TALK,Quavo,2018-08-20,us,3nmfktGzQJe0B77Ilcce1o,atl hip hop,172440,51
My Story,Loren Gray,2018-08-20,us,7A6d1s5kEY08IXBWwbqWJ1,social media pop,202199,47
On My Way to You,Cody Johnson,2018-08-20,us,1Xa0gIAsmt1vRlo2fXPZEr,contemporary country,213305,38
Chain of Fools,Aretha Franklin,2018-08-20,us,2oZmMp5M6L0Rh7G84Um2tF,adult standards,168669,61
Think,Aretha Franklin,2018-08-20,us,4yQw7FR9lcvL6RHtegbJBh,adult standards,139733,68
Mo Bamba,Sheck Wes,2018-08-20,us,3QybPutx0Tjk472bBKjNWn,rap,180897,10
Noticed,Lil Mosey,2018-08-20,us,7d6XJZjnm7iWcKwYL9z5kC,melodic rap,165000,8
Ain't No Way,Aretha Franklin,2018-08-20,us,0qgYfRBF5mSCPOdHdgus66,adult standards,253933,44
I Never Loved a Man (The Way I Love You),Aretha Franklin,2018-08-20,us,1hES47PrbU8GPTI5A9lsr0,adult standards,171773,54
Amazing Grace,Aretha Franklin,2018-08-20,us,62aEe7mLn8wdWr0o26shwx,adult standards,648826,48
Dancing in the Moonlight,Jubël,2018-08-20,us,5ow0sNF1zSqp71Ix5jEXWU,swedish pop,164009,72
You Say,Lauren Daigle,2018-08-20,us,72b0ANL1ZiV71OiZRs0Lny,ccm,274693,21
I Knew You Were Waiting (For Me),George Michael,2018-08-20,us,2XgDgIsVUOt9Lov5G4Wruy,new wave pop,238000,59
Rolling In the Deep (The Aretha Version),Aretha Franklin,2018-08-20,us,0UdRGHCSRvn85nN0IfHFmq,adult standards,240306,50
Rock Steady,Aretha Franklin,2018-08-20,us,6ZnHrF3PTc3JEVz4tlKAJh,adult standards,195573,45
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,2018-08-20,us,3DGar7krWlmrXRFHBcQF6z,dutch house,163636,73
Epa Wei,Danny Ocean,2018-08-20,us,2QmsKag0YaqhAbpR9Nwmpn,latin,208253,66
High - Bassnectar Remix,Rusko,2018-08-20,us,2g0v8EFQyk9JGNqdWFU4Tl,bassline,234857,0
Son of a Preacher Man,Aretha Franklin,2018-08-20,us,4uCbetXW9LStYPUjCpBVp9,adult standards,199266,63
Racks on Me,Drako,2018-08-20,us,5KPuc7JG5IrI40t98BRrjt,atl trap,207400,52
Album of the Year - Freestyle,J. Cole,2018-08-20,us,6rDaCGqcQB1urhpCrrD599,conscious hip hop,138872,61
Mala Mía,Maluma,2018-08-20,us,62o8KoI44JfN7aYxgTnPvh,latin,183752,72
You Send Me,Aretha Franklin,2018-08-20,us,4VijLEUxHEzbWKYL5u9wuN,adult standards,149626,59
Bridge over Troubled Water,Aretha Franklin,2018-08-20,us,5YD86vWLu1YqR818b1GADO,adult standards,333933,55
Dear God,Hunter Hayes,2018-08-20,us,4uKnBwasJbpaXoPGrwqlc4,contemporary country,175173,48
Peach,Broods,2018-08-20,us,35cr60GvlqBVchNX7fBqyo,auckland indie,255397,9
