track_name,artist,spotify_id,genre,popularity,duration,album_art
Stay Inside,Té Kav,7kmTzFXwnBBjRe56xe2Oiq,hiphop pop,35,182822,https://i.scdn.co/image/ab67616d00001e025102f668ed2b1a863b767686
Traffik,Té Kav,5bAZYpWZKPPwyI2vZLPpRF,hiphop pop,18,154012,https://i.scdn.co/image/ab67616d00001e02a815d37096bee5c12aa764c5
Verocai,Danny Schiller,4TTQSgFEi5RwfQ17JmIU3B,latin pop,38,189545,https://i.scdn.co/image/ab67616d00001e02e2c998c6da6704381bd880b8
Lo in Between,Danny Schiller,6Qapq4k0J8Z15O6Ojo1W5j,latin pop,17,166736,https://i.scdn.co/image/ab67616d00001e0292c35520005f6874663b6db7
Candyland,Funtimes,4BWNyMsf2zUdASwUtMNpqR,acoustic pop,0,181315,https://i.scdn.co/image/ab67616d00001e02ef14c7c23f1ba25f89d5e118
Foreverist,Sonto,6HubfV2jnlH9R1vM8qLpdq,indie,7,227983,https://i.scdn.co/image/ab67616d00001e02faddebd8759bd10e6e9351fc
Forest Blue Park,Ismy,2OX5sQi532WfEfx1W3Lzfa,electronic,9,213494,https://i.scdn.co/image/ab67616d00001e025be36feebfabd23d5a61c448
People Change but I Do Not,Ismy,7JPRpCNIVwnjBJKukyqh8W,electronic,5,243421,https://i.scdn.co/image/ab67616d00001e025be36feebfabd23d5a61c448
Declaration,Nick Diaz,7xWBtsF6WTZDtaRMlo0xFh,dance pop,0,252917,https://i.scdn.co/image/ab67616d00001e022c243128e501d1d7de29d128
Make Your Move,Nick Diaz,047wtZoCYMkcMXmDnZdQeE,dance pop,0,168923,https://i.scdn.co/image/ab67616d00001e020d1a46ce6c0fae9645b932a5
Pink Haus,Maddie Pizzarelli,4D3ReqyaEPlaEaKhqSpLeg,indie folk,3,224952,https://i.scdn.co/image/ab67616d00001e0217b19300bf4224f5d57a7098
Disintegration Nation,Maddie Pizzarelli,66sjykuyDUt4kYvZ0LkiZE,indie folk,1,216455,https://i.scdn.co/image/ab67616d00001e0217b19300bf4224f5d57a7098
moonlight,dhruv,4d83gRvk3DHU5cWBbyOlSk,indie r&b,62,159130,https://i.scdn.co/image/ab67616d00001e02e151358dd5fd214205ccc381
double take,dhruv,58wjlIN5lb50IFufJkaJNE,indie r&b,50,171743,https://i.scdn.co/image/ab67616d00001e02b9ec8665cdaff8d9aac6e51f
Wandering Mind,Chance Emerson,5DZQGc5hZOlYqzaSbbzfvk,country folk,37,181564,https://i.scdn.co/image/ab67616d00001e02fde8ecb09616a70100c8d355
How Can I,Chance Emerson,1om8cNoPhnYEt9G7PmswxD,country folk,36,197293,https://i.scdn.co/image/ab67616d00001e0244a87e7311ebf32f30ee7f35
Take on Me,The Jabberwocks of Brown University,7sKUCPqzWZvB4Xn6BEsjye,acoustic pop,4,210013,https://i.scdn.co/image/ab67616d00001e02331160c9bf509f99905642b0
All I Ask,The Jabberwocks of Brown University,3gFa4CUP9ZFerPRhqNAI8Z,acoustic pop,2,267480,https://i.scdn.co/image/ab67616d00001e02331160c9bf509f99905642b0
Finesse,The Jabberwocks of Brown University,1SYUhXg1b9zxhBe9bqpAQG,acoustic pop,2,206173,https://i.scdn.co/image/ab67616d00001e02331160c9bf509f99905642b0
Eagletown,Orange Guava Passion,4hW0EFqkv2t8CtHjsVC90v,funk,36,271280,https://i.scdn.co/image/ab67616d00001e025a371bc1840f9cc7b617653b
TJ,Orange Guava Passion,3TNWABKm4Xgcl2WMYbPoBm,funk,32,245496,https://i.scdn.co/image/ab67616d00001e023232f544a5cf259206518800
Stoplight,India Thieriot,5kcLIboPvKLJHFLLjBD9tw.pop,1,156631,https://i.scdn.co/image/ab67616d00001e02cc75758dab70c0eff68bfe50
That's Love,India Thieriot,7erIkWstgBRm3EB3VWELI2,pop,1,233535,https://i.scdn.co/image/ab67616d00001e02cc75758dab70c0eff68bfe50
Notes to Noi,Storm Ford,6gn7FPClCEhkkPkjaNj8N1,r&b soul,13,242638,https://i.scdn.co/image/ab67616d00001e02a1e896c63ec51f869bdb8e66
Need You to Need Me,Storm Ford,3GqOlKE0lCNOfTqwTUXu04,r&b soul,7,116122,https://i.scdn.co/image/ab67616d00001e020dfd3027008376557c9bd493
Second Hand Love (Live),Storm Ford,2MetxnZ36WsSXfxy5E8ApK,rnb,5,240000,https://i.scdn.co/image/ab67616d00001e02a1e896c63ec51f869bdb8e66
Questions in My Head,Kiwiisour,6lSntxhzJOG82LA93D4tmq,funk jazz,2,265959,https://i.scdn.co/image/ab67616d00001e028b1b26315b39494a5fd26572
Molten,Kiwiisour,4z2BCUNtJ45TINErTDqjzF,funk jazz,0,285326,https://i.scdn.co/image/ab67616d00001e028b1b26315b39494a5fd26572
I Just Want You to Know,Jeffrey Owens,16xGTPVMMqJvQkwiYZVu47,lo-fi chill,42,184032,https://i.scdn.co/image/ab67616d00001e027699bd0c1981ecc872dd91b9
On My Mind,Baird,0vrfkpuXq07MkztTYfRSSG,baltimore indie,35,198674,https://i.scdn.co/image/ab67616d00001e0201a22cedd0b5b3c37ac2235d
In Dreams...,Baird,1OghGAJGDks8X4y8KMQy4X,baltimore indie,29,139369,https://i.scdn.co/image/ab67616d00001e025cd010ce4f13017d7cf6b63c
Como Los Gatos en la Calle,Sebastián .Otero,2vYnrUzOT6b47WHQtlpZGJ,puerto rican indie,32,248032,https://i.scdn.co/image/ab67616d00001e02aa044f25c98ed52821a1aeed
Miel y Mantequilla,Sebastián .Otero,2YnlDzQ7jw9LwLhapCOYLU,puerto rican indie,18,227319,https://i.scdn.co/image/ab67616d00001e02e13b1bb13eeaa0bae5ba327d
Donde Nadie Nos Nombre,Sebastián .Otero,5XNz30gSyNm8NUwOdTtNYw,puerto rican indie,11,243600,https://i.scdn.co/image/ab67616d00001e020be4e738400142230790c7a4
What America Runs On,Maddie Pizzarelli,2kCF97RRPKAiRBQrndZQ12,indie folk,4,271032,https://i.scdn.co/image/ab67616d00001e02e079083212441f97ce2e157b
Citrus,Ismy,6hrM1s0eBs1WpY6nVSjOTe,electronic dance,7,167530,https://i.scdn.co/image/ab67616d00001e025be36feebfabd23d5a61c448
Hooked,Té Kav,1ej0KYvvvEUT7rKdlPLHdc,rap pop,1,205090,https://i.scdn.co/image/ab67616d00001e0283091e804556f45b8c0f44a0
Easy to Love,Couch,6ditxim8H91c4d9WfGruK4,indie pop,36,186841,https://i.scdn.co/image/ab67616d00001e022ccf5145ff17715431bfa3d9
Ayudar,Danny Schiller,7gPLZHFps79jlU1cEzfBL8,soft pop,15,159157,https://i.scdn.co/image/ab67616d00001e02ef551fbacfd8ddb999d65f40
Repeat It,Sonto,2jboVaTIt2WnfiH9yLS91e,electronic indie,1,191011,https://i.scdn.co/image/ab67616d00001e02af7b8eb7c96d51c4339bb81f
The Raspberry Men,Chance Emerson,0VfoTEGDqTA1uj9J1wl2Hs,country folk,31,300306,https://i.scdn.co/image/ab67616d00001e0244a87e7311ebf32f30ee7f35
Hard to Say,Storm Ford,0mCIV64EeFvhNFkduzxmCC,r&b soul,5,96000,https://i.scdn.co/image/ab67616d00001e020dfd3027008376557c9bd493
401 to the 508,ATM King,39gqlmnZLtx3u3r1luOMEb,rap hip-hop,21,127869,https://i.scdn.co/image/ab67616d00001e026b91b62bfb42232b51d70c4a
