track_name,artist,spotify_id,genre,popularity,duration,album_art,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
Stay Inside,Té Kav,7kmTzFXwnBBjRe56xe2Oiq,hiphop pop,35,182822,https://i.scdn.co/image/ab67616d00001e025102f668ed2b1a863b767686,0.888,0.458,-10.61,0.245,0.367,0.0936,123.998
Traffik,Té Kav,5bAZYpWZKPPwyI2vZLPpRF,hiphop pop,18,154012,https://i.scdn.co/image/ab67616d00001e02a815d37096bee5c12aa764c5,0.968,0.401,-11.295,0.356,0.482,0.117,120.009
Verocai,Danny Schiller,4TTQSgFEi5RwfQ17JmIU3B,latin pop,38,189545,https://i.scdn.co/image/ab67616d00001e02e2c998c6da6704381bd880b8,0.443,0.307,-11.665,0.0366,0.923,0.111,115.311
Lo in Between,Danny Schiller,6Qapq4k0J8Z15O6Ojo1W5j,latin pop,17,166736,https://i.scdn.co/image/ab67616d00001e0292c35520005f6874663b6db7,0.764,0.343,-9.206,0.155,0.0429,0.145,95.168
Candyland,Funtimes,4BWNyMsf2zUdASwUtMNpqR,acoustic pop,0,181315,https://i.scdn.co/image/ab67616d00001e02ef14c7c23f1ba25f89d5e118,0.571,0.156,-16.75,0.273,0.864,0.344,136.593
Foreverist,Sonto,6HubfV2jnlH9R1vM8qLpdq,indie,7,227983,https://i.scdn.co/image/ab67616d00001e02faddebd8759bd10e6e9351fc,0.48,0.593,-7.32,0.0329,0.303,0.206,129.955
Forest Blue Park,Ismy,2OX5sQi532WfEfx1W3Lzfa,electronic,9,213494,https://i.scdn.co/image/ab67616d00001e025be36feebfabd23d5a61c448,0.601,0.648,-12.628,0.202,0.00242,0.103,127.073
People Change but I Do Not,Ismy,7JPRpCNIVwnjBJKukyqh8W,electronic,5,243421,https://i.scdn.co/image/ab67616d00001e025be36feebfabd23d5a61c448,0.857,0.221,-14.702,0.0786,0.0359,0.143,108.038
Declaration,Nick Diaz,7xWBtsF6WTZDtaRMlo0xFh,dance pop,0,252917,https://i.scdn.co/image/ab67616d00001e022c243128e501d1d7de29d128,0.704,0.35,-16.193,0.121,0.344,0.351,117.211
Make Your Move,Nick Diaz,047wtZoCYMkcMXmDnZdQeE,dance pop,0,168923,https://i.scdn.co/image/ab67616d00001e020d1a46ce6c0fae9645b932a5,0.839,0.431,-12.782,0.215,0.569,0.112,129.982
Pink Haus,Maddie Pizzarelli,4D3ReqyaEPlaEaKhqSpLeg,indie folk,3,224952,https://i.scdn.co/image/ab67616d00001e0217b19300bf4224f5d57a7098,0.589,0.342,-7.553,0.0323,0.852,0.183,132.83
Disintegration Nation,Maddie Pizzarelli,66sjykuyDUt4kYvZ0LkiZE,indie folk,1,216455,https://i.scdn.co/image/ab67616d00001e0217b19300bf4224f5d57a7098,0.623,0.225,-9.394,0.0343,0.888,0.131,78.17
